Year,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Sex,Unit of measure,Observation-level footnotes,Source details,Value
2019,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",41.82
2020,Data are as at 1 January of reporting year | single or lower chambers of national parliaments.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",43.03
2021,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",43.03
2022,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",42.68
2000,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",17.0
2001,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",17.0
2002,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",20.0
2003,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",23.0
2004,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",23.0
2005,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",23.0
2006,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",23.0
2007,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",23.0
2008,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",33.0
2009,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",33.0
2010,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",34.0
2011,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",34.0
2012,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",34.0
2013,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",64.0
2014,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",65.0
2015,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",64.0
2016,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",64.0
2017,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",64.0
2018,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",69.0
2019,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",69.0
2020,Data are as at 1 January of reporting year | single or lower chambers of national parliaments.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed Jan 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",71.0
2021,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",71.0
2022,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",70.0
2021,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",Current number of seats in national parliaments [5.5.1],,Number,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",165.0
2022,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",Current number of seats in national parliaments [5.5.1],,Number,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",164.0
