Year,UNIT_MULT,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Unit of measure,Unit multiplier,Nature of data points,Observation-level footnotes,Source details,Value
2016,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",63.1765
2017,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",63.1765
2018,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",63.1765
2019,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",66.8048
2020,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",70.4332
2000,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",88.4845
2010,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",88.4529
2015,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",90.5018
2016,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",90.7824
2017,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",90.7824
2018,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",90.7824
2019,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",90.7824
2020,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",90.7824
