Year,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SDG Series,Unit of measure,Unit multiplier,Observation-level footnotes,Upper bound value,Lower bound value,Value
2010,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",21.2,18.6,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",18.6,16,19.9
2011,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",21.1,18.7,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",18.6,16,19.8
2012,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",20.9,18.8,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",18.6,16,19.8
2013,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",20.8,18.9,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",18.6,16,19.8
2014,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",20.6,18.9,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",18.6,16,19.7
2015,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",20.4,18.7,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",18.6,16,19.5
2016,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",20,18.3,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",18.6,16,19.2
2017,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",19.7,17.8,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",18.6,16,18.7
2018,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",19.4,17.3,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",18.6,16,18.3
2019,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",19,16.6,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",18.6,16,17.8
2020,0,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",18.6,16,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",18.6,16,17.2
2000,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",452.1,390.8,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",485.3,417.6,420.7
2001,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",447.4,387.8,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",485.3,417.6,416.9
2002,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",441.5,383.4,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",485.3,417.6,411.8
2003,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",436.1,378.6,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",485.3,417.6,406.7
2004,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",434.1,376.1,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",485.3,417.6,404.4
2005,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",433.7,374.6,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",485.3,417.6,403.3
2006,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",435.9,375.6,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",485.3,417.6,405.0
2007,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",438.8,378,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",485.3,417.6,407.6
2008,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",443.7,383.5,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",485.3,417.6,412.8
2009,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",448.4,389.9,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",485.3,417.6,418.4
2010,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",456,400.2,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",485.3,417.6,427.4
2011,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",467.6,415,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",485.3,417.6,440.7
2012,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",478.3,429.7,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",485.3,417.6,453.5
2013,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",486.5,441.9,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",485.3,417.6,463.8
2014,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",493.2,451.6,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",485.3,417.6,472.0
2015,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",497.7,457.2,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",485.3,417.6,477.1
2016,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",499.3,457.1,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",485.3,417.6,477.8
2017,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",496.9,450.3,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",485.3,417.6,473.2
2018,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",495.5,442.4,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",485.3,417.6,468.4
2019,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",490,429.8,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",485.3,417.6,459.1
2020,3,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",485.3,417.6,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",485.3,417.6,450.4
