Year,SDG Series,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Value
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,25 years old and over,,,,19.94015
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,25 years old and over,,,,46.52966
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,25 years old and over,,,,60.13702
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 to 24 years old,,,,0.42955
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 to 24 years old,,,,6.75081
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 to 24 years old,,,,34.44546
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 to 24 years old,,,,47.82845
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Female,15 years old and over,,,,5.45044
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Female,15 years old and over,,,,11.39955
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Female,15 years old and over,,,,38.44961
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Female,15 years old and over,,,,50.29543
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Male,15 years old and over,,,,6.23654
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Male,15 years old and over,,,,19.9265
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Male,15 years old and over,,,,46.72496
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Male,15 years old and over,,,,62.30537
2011,Proportion of adults (15 years and older) active in labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,10.00628
2014,Proportion of adults (15 years and older) active in labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,25.17007
2017,Proportion of adults (15 years and older) active in labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,51.4342
2021,Proportion of adults (15 years and older) active in labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,63.87666
2011,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,1.66386
2014,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,4.69054
2017,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,29.77126
2021,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,41.18929
