Year,SOURCE_DETAIL,SDG Series,Unit of measure,Source details,Value
2019,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",-5.52852
1975,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",2723610.70925
1976,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",4302542.86302
1977,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",-724938.79058
1980,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",-808604.90396
1993,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",18902462.01237
1994,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",1988596.90556
1995,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",7297087.61776
1996,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",50102716.98087
1997,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",89389841.20056
1998,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",38127808.87476
1999,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",21146736.88546
2000,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",14392651.18452
2001,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",1418755.94545
2002,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",4765613.84743
2003,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",37684711.14309
2004,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",66310129.81785
2005,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",30463597.76737
2006,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",20626252.10418
2007,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",24728348.60114
2008,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",26094951.27152
2009,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",20885877.11832
2010,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",28958645.35128
2011,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",1712387.63676
2012,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",-217693008.39939
2013,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",-270498355.07218
2014,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",-3716840171.74216
2015,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",155052039.21402
2016,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",349126259.18476
2017,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",788868819.20684
2018,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",-624668497.93844
2019,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",-1312189157.78359
1970,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.86065
1971,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.41611
1972,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.29896
1973,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.68792
1974,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.78857
1975,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.52645
1976,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",1.33462
1977,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",1.25813
1978,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.64887
1979,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",1.34752
1980,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",1.087
1981,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.2064
1982,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.20214
1983,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.39702
1984,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.17368
1985,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.47018
1986,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.45207
1987,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.49407
1988,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.00472
1989,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.7508
1990,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.66587
1991,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.23101
1992,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.07751
1993,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",2.53235
1994,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.10398
1995,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.46747
1996,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.90216
1997,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.47345
