Year,SDG Series,Type of product,COMMENT_OBS,Observation-level footnotes,Value
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,2.4438
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,2.4438
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,2.4438
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,11.94252
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.89868
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.76719
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.6483
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.65747
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.65421
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.65276
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.59386
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.59289
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.42137
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.59615
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.59675
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.59236
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,4.04309
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,3.73933
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,3.73442
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,3.76027
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,4.12701
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,4.08327
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,4.12223
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,4.08515
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,4.07072
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,3.82746
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,3.80973
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,3.81014
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,3.812
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,9.03999
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,7.90302
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,7.70602
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,7.69077
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,7.6778
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,7.66738
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,7.66461
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,7.65087
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,7.71632
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,7.58076
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,7.70649
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,7.71224
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,7.69091
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,2.86788
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,0.62787
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,0.16329
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,0.16231
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,0.17452
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,0.1743
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,0.21821
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,0.17333
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,0.17005
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,0.18181
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,0.18068
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,0.18069
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,0.18069
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,4.116
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,1.41938
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,0.26125
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,0.26125
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,0.25753
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,0.25041
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,0.25041
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,0.24745
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,0.21221
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,0.20958
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,0.21053
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,0.21053
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,0.21053
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,Obs_Value = 0;  ,0.3072
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,Obs_Value = 0;  ,0.3072
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,Obs_Value = 0;  ,0.3072
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,Obs_Value = 0;  ,0.3072
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,Obs_Value = 0;  ,0.3072
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,Obs_Value = 0;  ,0.3072
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,Obs_Value = 0;  ,0.3072
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,Obs_Value = 0;  ,0.3072
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,Obs_Value = 0;  ,0.3072
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,Obs_Value = 0;  ,0.3072
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,Obs_Value = 0;  ,0.3072
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,Obs_Value = 0;  ,0.3072
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,7.35562
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,0.18418
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,0.1737
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,0.05389
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,0.05389
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,0.05397
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,0.05397
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,0.04401
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,0.04401
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,0.04401
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,0.05023
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,0.05023
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,0.05391
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,1.13677
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.43184
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.19544
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.19453
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.21912
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.21975
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.26263
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.2185
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.2185
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.24627
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.24145
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.24144
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.24144
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,4.8025
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,3.05393
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,3.04498
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,3.03738
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,3.03341
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,3.03316
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,3.03341
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,3.04153
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,2.97043
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,2.84267
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,2.98946
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,2.99069
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,2.99069
