Year,SDG Series,Type of product,COMMENT_OBS,Observation-level footnotes,Value
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,,,15.85653
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,,,16.85774
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,,,15.29578
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,,,13.55726
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,,,14.38462
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,,,14.38462
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,,,15.03089
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,,,14.95369
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",,,,9.5444
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",,,,8.92504
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",,,,9.51895
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",,,,8.74423
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",,,,9.05868
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",,,,9.04996
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",,,,9.68974
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",,,,9.55179
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,,,10.20055
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,,,11.01513
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,,,13.2544
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,,,11.21426
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,,,11.78907
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,,,11.78915
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,,,12.87111
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,,,12.39947
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,,,19.1939
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,,,18.93712
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,,,19.86082
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,,,19.63466
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,,,11.50701
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,,,11.50701
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,,,19.91068
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,,,19.78108
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,,,20.0
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,,,19.92797
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,,,19.98701
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,,,19.90418
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,,,19.97712
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,,,19.97712
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,,,19.98676
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,,,19.99109
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,,,9.19611
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,,,9.23099
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,,,9.11045
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,,,9.39573
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,,,8.93415
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,,,8.92081
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,,,9.31514
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,,,9.03589
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,,,14.47715
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,,,15.87309
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,,,14.87086
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,,,12.9544
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,,,14.03114
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,,,14.03114
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,,,14.51435
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,,,14.4785
