Year,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Sex,Age,Occupation,Composite breakdown,Unit of measure,Observation-level footnotes,Source details,Value
2021,"Bicameral: Lower chamber (National Assembly), Chair(s) presides over a committee which covers multuple themes (Foreign affairs, Defence), , Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Male,46 years old and over,,Parliamentary committee: Foreign Affairs and Defence,Number,"Bicameral: Lower chamber (National Assembly), Chair(s) presides over a committee which covers multuple themes (Foreign affairs, Defence), , Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2022,"Bicameral: Lower chamber (National Assembly), Chair(s) presides over a committee which covers multuple themes (Foreign affairs, Defence), , Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Male,46 years old and over,,Parliamentary committee: Foreign Affairs and Defence,Number,"Bicameral: Lower chamber (National Assembly), Chair(s) presides over a committee which covers multuple themes (Foreign affairs, Defence), , Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2021,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Male,46 years old and over,,Parliamentary committee: Finance,Number,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2022,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Male,46 years old and over,,Parliamentary committee: Finance,Number,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2021,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Male,46 years old and over,,Parliamentary committee: Gender Equality,Number,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2022,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Male,46 years old and over,,Parliamentary committee: Gender Equality,Number,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2021,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Male,46 years old and over,,Parliamentary committee: Human Rights,Number,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2022,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Male,46 years old and over,,Parliamentary committee: Human Rights,Number,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2021,"Bicameral: Upper chamber (Senate), Chair(s) presides over a committee which covers multuple themes (Foreign affairs, Defence), , Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Male,46 years old and over,,Parliamentary committee: Foreign Affairs and Defence,Number,"Bicameral: Upper chamber (Senate), Chair(s) presides over a committee which covers multuple themes (Foreign affairs, Defence), , Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2022,"Bicameral: Upper chamber (Senate), Chair(s) presides over a committee which covers multuple themes (Foreign affairs, Defence), , Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Male,46 years old and over,,Parliamentary committee: Foreign Affairs and Defence,Number,"Bicameral: Upper chamber (Senate), Chair(s) presides over a committee which covers multuple themes (Foreign affairs, Defence), , Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2021,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Male,46 years old and over,,Parliamentary committee: Finance,Number,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2022,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Male,46 years old and over,,Parliamentary committee: Finance,Number,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2021,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Male,under 46 years old,,Parliamentary committee: Gender Equality,Number,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2022,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Male,under 46 years old,,Parliamentary committee: Gender Equality,Number,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2021,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Male,under 46 years old,,Parliamentary committee: Human Rights,Number,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2022,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Male,under 46 years old,,Parliamentary committee: Human Rights,Number,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2021,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year; population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no re","Inter-Parliamentary Union (IPU), Parline Database","Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral [16.7.1]",,,,,Ratio,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament ","Inter-Parliamentary Union (IPU), Parline Database",0.42458
2022,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament ","Inter-Parliamentary Union (IPU), Parline Database","Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral [16.7.1]",,,,,Ratio,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament ","Inter-Parliamentary Union (IPU), Parline Database",0.42094
2021,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year; population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representatio","Inter-Parliamentary Union (IPU), Parline Database","Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber [16.7.1]",,,,,Ratio,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament ","Inter-Parliamentary Union (IPU), Parline Database",0.62504
2022,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament ","Inter-Parliamentary Union (IPU), Parline Database","Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber [16.7.1]",,,,,Ratio,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament ","Inter-Parliamentary Union (IPU), Parline Database",0.60665
2021,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database","Number of speakers in parliament, by age and sex , Lower Chamber or Unicameral [16.7.1]",Male,46 years old and over,,,Number,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2022,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database","Number of speakers in parliament, by age and sex , Lower Chamber or Unicameral [16.7.1]",Male,46 years old and over,,,Number,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2021,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database","Number of speakers in parliament, by age and sex, Upper Chamber [16.7.1]",Male,46 years old and over,,,Number,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2022,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database","Number of speakers in parliament, by age and sex, Upper Chamber [16.7.1]",Male,46 years old and over,,,Number,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2021,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election ","Inter-Parliamentary Union (IPU), Parline Database","Number of youth in parliament (age 45 or below), Lower Chamber or Unicameral [16.7.1]",,under 46 years old,,,Number,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election ","Inter-Parliamentary Union (IPU), Parline Database",104.0
2022,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election ","Inter-Parliamentary Union (IPU), Parline Database","Number of youth in parliament (age 45 or below), Lower Chamber or Unicameral [16.7.1]",,under 46 years old,,,Number,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election ","Inter-Parliamentary Union (IPU), Parline Database",104.0
2021,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year, based on available age data collected after each election ","Inter-Parliamentary Union (IPU), Parline Database","Number of youth in parliament (age 45 or below), Upper Chamber [16.7.1]",,under 46 years old,,,Number,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year, based on available age data collected after each election ","Inter-Parliamentary Union (IPU), Parline Database",21.0
2022,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year, based on available age data collected after each election ","Inter-Parliamentary Union (IPU), Parline Database","Number of youth in parliament (age 45 or below), Upper Chamber [16.7.1]",,under 46 years old,,,Number,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year, based on available age data collected after each election ","Inter-Parliamentary Union (IPU), Parline Database",21.0
2021,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database","Proportion of youth in parliament (age 45 or below), Lower Chamber or Unicameral [16.7.1]",,under 46 years old,,,Percent,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",29.8
2022,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database","Proportion of youth in parliament (age 45 or below), Lower Chamber or Unicameral [16.7.1]",,under 46 years old,,,Percent,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",29.8
2021,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database","Proportion of youth in parliament (age 45 or below), Upper Chamber [16.7.1]",,under 46 years old,,,Percent,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",30.88
2022,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database","Proportion of youth in parliament (age 45 or below), Upper Chamber [16.7.1]",,under 46 years old,,,Percent,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",30.88
2021,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year; population figures used from United Nations Population Division - World Population Prospects to calculate ratios; the ratio can be interpreted as follows:  
-	0 means no r","Inter-Parliamentary Union (IPU), Parline Database","Ratio of young members in parliament (Ratio of the proportion of young members in parliament (age 45 or below) in the proportion of the national population (age 45 or below) with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral [16.7.1]",,under 46 years old,,,Ratio,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division - World Population Prospects to calculate ratios; the ratio can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament ","Inter-Parliamentary Union (IPU), Parline Database",0.38645
2022,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division - World Population Prospects to calculate ratios; the ratio can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament ","Inter-Parliamentary Union (IPU), Parline Database","Ratio of young members in parliament (Ratio of the proportion of young members in parliament (age 45 or below) in the proportion of the national population (age 45 or below) with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral [16.7.1]",,under 46 years old,,,Ratio,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division - World Population Prospects to calculate ratios; the ratio can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament ","Inter-Parliamentary Union (IPU), Parline Database",0.38645
2021,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year; population figures used from United Nations Population Division - World Population Prospects to calculate ratios; the ratio can be interpreted as follows:  
-	0 means no representati","Inter-Parliamentary Union (IPU), Parline Database","Ratio of young members in parliament (Ratio of the proportion of young members in parliament (age 45 or below) in the proportion of the national population (age 45 or below) with the age of eligibility as a lower bound boundary), Upper Chamber [16.7.1]",,under 46 years old,,,Ratio,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division - World Population Prospects to calculate ratios; the ratio can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament ","Inter-Parliamentary Union (IPU), Parline Database",0.40045
2022,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division - World Population Prospects to calculate ratios; the ratio can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament ","Inter-Parliamentary Union (IPU), Parline Database","Ratio of young members in parliament (Ratio of the proportion of young members in parliament (age 45 or below) in the proportion of the national population (age 45 or below) with the age of eligibility as a lower bound boundary), Upper Chamber [16.7.1]",,under 46 years old,,,Ratio,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division - World Population Prospects to calculate ratios; the ratio can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament ","Inter-Parliamentary Union (IPU), Parline Database",0.40045
