Year,NATURE,SOURCE_DETAIL,Sex,Education level,Value
2012,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Secondary education (lower and upper secondary education),65.75
2013,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Secondary education (lower and upper secondary education),58.91543
2014,E,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Secondary education (lower and upper secondary education),69.11297
2015,E,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Secondary education (lower and upper secondary education),84.32361
2020,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Secondary education (lower and upper secondary education),77.79847
2008,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Pre-primary education,10.6287
2009,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Pre-primary education,12.3224
2010,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Pre-primary education,13.32485
2012,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Pre-primary education,21.46186
2013,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Pre-primary education,23.25076
2014,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Pre-primary education,23.59216
2015,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Pre-primary education,23.95457
2019,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Pre-primary education,34.32504
2020,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Pre-primary education,34.47886
2003,E,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Primary education,55.85377
2004,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Primary education,49.43656
2005,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Primary education,41.67527
2007,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Primary education,38.07079
2008,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Primary education,37.98171
2009,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Primary education,34.11681
2010,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Primary education,40.19462
2011,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Primary education,61.26459
2012,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Primary education,61.78326
2013,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Primary education,68.14164
2014,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Primary education,65.78296
2015,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Primary education,65.04538
2019,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Primary education,72.08117
2020,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Primary education,71.04637
2020,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Lower secondary education,86.66495
2020,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Upper secondary education,71.21039
2011,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Secondary education (lower and upper secondary education),37.29713
2012,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Secondary education (lower and upper secondary education),40.0617
2013,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Secondary education (lower and upper secondary education),54.7858
2014,E,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Secondary education (lower and upper secondary education),59.65825
2015,E,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Secondary education (lower and upper secondary education),68.05876
2020,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Secondary education (lower and upper secondary education),71.26147
2008,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Pre-primary education,20.20972
2009,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Pre-primary education,19.8741
2010,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Pre-primary education,21.52778
2012,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Pre-primary education,29.46245
2013,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Pre-primary education,33.55111
2014,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Pre-primary education,32.35915
2015,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Pre-primary education,33.16971
2019,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Pre-primary education,49.54921
2020,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Pre-primary education,46.75848
2003,E,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Primary education,55.2357
2004,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Primary education,51.27545
2005,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Primary education,47.04907
2007,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Primary education,49.13298
2008,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Primary education,49.50194
2009,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Primary education,46.11442
2010,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Primary education,51.23019
2011,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Primary education,63.93293
2012,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Primary education,66.09335
2013,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Primary education,74.37539
2014,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Primary education,71.97712
2015,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Primary education,69.91626
2019,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Primary education,76.86571
2020,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Primary education,76.9598
2020,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Lower secondary education,79.99742
2020,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Upper secondary education,66.16994
