Year,SDG Series,Degree of urbanisation,Value
2013,Proportion of population with basic handwashing facilities on premises [6.2.1],,26
2014,Proportion of population with basic handwashing facilities on premises [6.2.1],,27
2015,Proportion of population with basic handwashing facilities on premises [6.2.1],,27
2016,Proportion of population with basic handwashing facilities on premises [6.2.1],,27
2017,Proportion of population with basic handwashing facilities on premises [6.2.1],,27
2018,Proportion of population with basic handwashing facilities on premises [6.2.1],,27
2019,Proportion of population with basic handwashing facilities on premises [6.2.1],,27
2020,Proportion of population with basic handwashing facilities on premises [6.2.1],,27
2011,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,24
2012,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,24
2013,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,24
2014,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,24
2015,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,24
2016,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,24
2017,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,24
2018,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,24
2019,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,24
2020,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,24
2011,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,33
2012,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,33
2013,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,33
2014,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,33
2015,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,33
2016,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,33
2017,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,33
2018,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,33
2019,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,33
2020,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,33
2000,Proportion of population using safely managed sanitation services [6.2.1],Rural,27
2001,Proportion of population using safely managed sanitation services [6.2.1],Rural,27
2002,Proportion of population using safely managed sanitation services [6.2.1],Rural,27
2003,Proportion of population using safely managed sanitation services [6.2.1],Rural,28
2004,Proportion of population using safely managed sanitation services [6.2.1],Rural,28
2005,Proportion of population using safely managed sanitation services [6.2.1],Rural,28
2006,Proportion of population using safely managed sanitation services [6.2.1],Rural,28
2007,Proportion of population using safely managed sanitation services [6.2.1],Rural,28
2008,Proportion of population using safely managed sanitation services [6.2.1],Rural,28
2009,Proportion of population using safely managed sanitation services [6.2.1],Rural,28
2010,Proportion of population using safely managed sanitation services [6.2.1],Rural,28
2011,Proportion of population using safely managed sanitation services [6.2.1],Rural,29
2012,Proportion of population using safely managed sanitation services [6.2.1],Rural,29
2013,Proportion of population using safely managed sanitation services [6.2.1],Rural,29
2014,Proportion of population using safely managed sanitation services [6.2.1],Rural,29
2015,Proportion of population using safely managed sanitation services [6.2.1],Rural,29
2016,Proportion of population using safely managed sanitation services [6.2.1],Rural,29
2017,Proportion of population using safely managed sanitation services [6.2.1],Rural,29
2018,Proportion of population using safely managed sanitation services [6.2.1],Rural,29
2019,Proportion of population using safely managed sanitation services [6.2.1],Rural,29
2020,Proportion of population using safely managed sanitation services [6.2.1],Rural,29
