Year,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Custom Breakdown,Nature of data points,Observation-level footnotes,Source details,Label for custom breakdown,Value
2020,G,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 646,Global monitoring data,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Rwanda,8.26866
2021,G,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 646,Global monitoring data,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Rwanda,5.53167
2016,G,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 728,Global monitoring data,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",South Sudan,10.50949
2017,G,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 728,Global monitoring data,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",South Sudan,10.97176
2018,G,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 728,Global monitoring data,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",South Sudan,12.05325
2019,G,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 728,Global monitoring data,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",South Sudan,12.27468
2020,G,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 728,Global monitoring data,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",South Sudan,10.69676
2021,G,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 728,Global monitoring data,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",South Sudan,9.91182
2016,G,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 800,Global monitoring data,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Uganda,10.02537
2017,G,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 800,Global monitoring data,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Uganda,9.38757
2018,G,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 800,Global monitoring data,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Uganda,10.66746
2019,G,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 800,Global monitoring data,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Uganda,11.04887
2020,G,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 800,Global monitoring data,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Uganda,9.37032
2021,G,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 800,Global monitoring data,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Uganda,9.63929
2016,G,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 834,Global monitoring data,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",United Republic of Tanzania,10.02537
2017,G,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 834,Global monitoring data,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",United Republic of Tanzania,9.38757
2018,G,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 834,Global monitoring data,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",United Republic of Tanzania,10.74528
2019,G,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 834,Global monitoring data,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",United Republic of Tanzania,10.91303
2020,G,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 834,Global monitoring data,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",United Republic of Tanzania,9.39233
2021,G,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 834,Global monitoring data,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",United Republic of Tanzania,9.92308
2016,G,Third quarter of the specified year. Global SmaRT Average: 5.20%.,"Remittance Prices Worldwide database, World Bank.",SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 646,Global monitoring data,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",Rwanda,5.95993
2017,G,Third quarter of the specified year. Global SmaRT Average: 5:80%.,"Remittance Prices Worldwide database, World Bank.",SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 646,Global monitoring data,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",Rwanda,4.99827
2018,G,Third quarter of the specified year. Global SmaRT Average: 4.65%.,"Remittance Prices Worldwide database, World Bank.",SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 646,Global monitoring data,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",Rwanda,6.36322
2019,G,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 646,Global monitoring data,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",Rwanda,6.32025
2020,G,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 646,Global monitoring data,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",Rwanda,5.12047
2021,G,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 646,Global monitoring data,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",Rwanda,5.13
2020,G,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 728,Global monitoring data,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",South Sudan,4.98322
2021,G,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 728,Global monitoring data,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",South Sudan,5.29
2016,G,Third quarter of the specified year. Global SmaRT Average: 5.20%.,"Remittance Prices Worldwide database, World Bank.",SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 800,Global monitoring data,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",Uganda,7.5595
2017,G,Third quarter of the specified year. Global SmaRT Average: 5:80%.,"Remittance Prices Worldwide database, World Bank.",SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 800,Global monitoring data,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",Uganda,4.99827
2018,G,Third quarter of the specified year. Global SmaRT Average: 4.65%.,"Remittance Prices Worldwide database, World Bank.",SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 800,Global monitoring data,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",Uganda,5.52621
2019,G,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 800,Global monitoring data,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",Uganda,6.27694
2020,G,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 800,Global monitoring data,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",Uganda,5.98287
2021,G,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 800,Global monitoring data,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",Uganda,4.76333
2016,G,Third quarter of the specified year. Global SmaRT Average: 5.20%.,"Remittance Prices Worldwide database, World Bank.",SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 834,Global monitoring data,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",United Republic of Tanzania,7.5595
2017,G,Third quarter of the specified year. Global SmaRT Average: 5:80%.,"Remittance Prices Worldwide database, World Bank.",SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 834,Global monitoring data,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",United Republic of Tanzania,7.63023
2018,G,Third quarter of the specified year. Global SmaRT Average: 4.65%.,"Remittance Prices Worldwide database, World Bank.",SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 834,Global monitoring data,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",United Republic of Tanzania,5.65296
2019,G,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 834,Global monitoring data,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",United Republic of Tanzania,5.82121
2020,G,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 834,Global monitoring data,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",United Republic of Tanzania,6.41359
2021,G,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 834,Global monitoring data,Third quarter of the specified year. Global SmaRT Average: 4.47%.,"Remittance Prices Worldwide database, World Bank.",United Republic of Tanzania,3.85667
2011,C,Third quarter of the specified year.,"World Development Indicators database, World Bank.",Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted [10.c.1],,Country Data,Third quarter of the specified year.,"World Development Indicators database, World Bank.",,9.72
2015,C,Third quarter of the specified year.,"World Development Indicators database, World Bank.",Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted [10.c.1],,Country Data,Third quarter of the specified year.,"World Development Indicators database, World Bank.",,11.04
2017,C,Third quarter of the specified year.,"World Development Indicators database, World Bank.",Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted [10.c.1],,Country Data,Third quarter of the specified year.,"World Development Indicators database, World Bank.",,9.48
2018,C,Third quarter of the specified year.,"World Development Indicators database, World Bank.",Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted [10.c.1],,Country Data,Third quarter of the specified year.,"World Development Indicators database, World Bank.",,11.12
2019,C,Third quarter of the specified year.,"World Development Indicators database, World Bank.",Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted [10.c.1],,Country Data,Third quarter of the specified year.,"World Development Indicators database, World Bank.",,11.31
2020,C,Third quarter of the specified year.,"World Development Indicators database, World Bank.",Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted [10.c.1],,Country Data,Third quarter of the specified year.,"World Development Indicators database, World Bank.",,9.54
2021,C,Third quarter of the specified year.,"World Development Indicators database, World Bank.",Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted [10.c.1],,Country Data,Third quarter of the specified year.,"World Development Indicators database, World Bank.",,9.23
