Year,OBS_STATUS,COMMENT_OBS,Sex,Occupation,Observation status,Observation-level footnotes,Value
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Female,Clerical support workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),70.86
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),Female,Clerical support workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),214.33
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Female,Service and sales workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),24.91
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),Female,Service and sales workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),60.91
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Female,"Skilled agricultural, forestry and fishery workers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),15.04
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),Female,"Skilled agricultural, forestry and fishery workers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),25.6
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Female,Craft and related trades workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,15.84
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Female,"Plant and machine operators, and assemblers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),29.8
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),Female,"Plant and machine operators, and assemblers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),84.71
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Female,Elementary occupations,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),17.56
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),Female,Elementary occupations,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),26.81
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Female,Not elsewhere classified,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,8.37
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Male,,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),51.14
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),Male,,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),103.15
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Male,Armed forces occupations,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),83.93
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),Male,Armed forces occupations,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),330.03
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Male,Managers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),295.6
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),Male,Managers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),549.47
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Male,Professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),170.18
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),Male,Professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),279.63
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Male,Technicians and associate professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),86.01
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),Male,Technicians and associate professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),264.98
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Male,Clerical support workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),63.13
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),Male,Clerical support workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),325.62
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Male,Service and sales workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),32.14
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),Male,Service and sales workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),63.8
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Male,"Skilled agricultural, forestry and fishery workers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),14.84
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),Male,"Skilled agricultural, forestry and fishery workers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),32.56
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Male,Craft and related trades workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,38.08
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Male,"Plant and machine operators, and assemblers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),47.98
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),Male,"Plant and machine operators, and assemblers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),61.31
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Male,Elementary occupations,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),22.75
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),Male,Elementary occupations,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),30.99
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Male,Not elsewhere classified,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,10.08
