Value,Disaggregation combinations using this value,Number of indicators
"City: Louga; An open public space (OPS) is defined as an area that openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth; Data used to estimate population with access to open public spaces is based on grid level population disaggregation directly from city/country data, or from the HRSL (facebook and CIESIN) and WorldPop;  City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.",1,1
"City: Louga; Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  ",1,1
"City: Mbour; An open public space (OPS) is defined as an area that openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth; Data used to estimate population with access to open public spaces is based on grid level population disaggregation directly from city/country data, or from the HRSL (facebook and CIESIN) and WorldPop;  City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.",1,1
"City: Mbour; Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  ",1,1
"City: Saint-Louis; An open public space (OPS) is defined as an area that openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth; Data used to estimate population with access to open public spaces is based on grid level population disaggregation directly from city/country data, or from the HRSL (facebook and CIESIN) and WorldPop;  City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.",1,1
"City: Saint-Louis; Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  ",1,1
"City: Thies; An open public space (OPS) is defined as an area that openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth; Data used to estimate population with access to open public spaces is based on grid level population disaggregation directly from city/country data, or from the HRSL (facebook and CIESIN) and WorldPop;  City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.",1,1
"City: Thies; Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  ",1,1
"City: Touba; An open public space (OPS) is defined as an area that openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth; Data used to estimate population with access to open public spaces is based on grid level population disaggregation directly from city/country data, or from the HRSL (facebook and CIESIN) and WorldPop;  City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.",1,1
"City: Touba; Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  ",1,1
"City: Ziguinchor; An open public space (OPS) is defined as an area that openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth; Data used to estimate population with access to open public spaces is based on grid level population disaggregation directly from city/country data, or from the HRSL (facebook and CIESIN) and WorldPop;  City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.",1,1
"City: Ziguinchor; Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  ",1,1
"Commitments; Based on OECD, CRS databased, 2022; Constant 2020 USD million",1,1
"Commitments;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",1,1
"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",5,5
Cumulative value.,1,1
"Dakar, Millet, Retail price",1,1
"Dakar, Rice (imported), Retail price",1,1
"Dakar, Sorghum, Retail price",1,1
Data are as at 1 January of reporting year | single or lower chambers of national parliaments.,2,1
Data based on most recent election results (2014) obtained by NSO from Local Government Associations.,1,1
"Data in reference to one country but derived from different types of sources should not be compared between them.
",3,1
Data reference period: May,9,1
Definition includes other cadres that is not in alignment with the standard definition,1,1
Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.,33,4
Documented rights are issued either indivdiually or jointly. Total population is restricted to household head and wife due to data limitations.,1,1
"Due to the exceptional circumstances of the COVID-19 pandemic, WHO has published an updated the second edition of the IHR State Parties Self-Assessment Tool in December 2021 based on the first edition published in July 2018. SPAR questionaires for IHR Annual reporting are also updated and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )",15,1
Estimate based on 2016 report.,1,1
Estimate based on 2018 report.,1,1
Estimate based on the acquisition date of each conserved accession as reported in 2014.,1,1
Estimated based on DHS 2018,1,1
Estimated based on DHS 2019,1,1
Estimates are based on projected values,2,1
Excluding Business enterprise,2,2
"Figure is a modelled estimate. For primary sources, please refer to the metadata.",76,2
"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",1,1
"Gross disbursements;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",1,1
"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",5,5
Item non-response for domain 2 of SDG indicator 10.7.2 is 10 per cent or more.,1,1
Item non-response for domain 6 of SDG indicator 10.7.2 is 10 per cent or more.,1,1
ITU estimate,1,1
juin 2020,2,1
Low Confidence,1,1
"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",1,1
"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",1,1
LowerBound = 0.00000;  ,1,1
"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1,1
"Obs_Value = 0;  Dakar, Rice (imported), Retail price",1,1
"Obs_Value = 0;  Data in reference to one country but derived from different types of sources should not be compared between them.
",2,1
Obs_Value = 0;  Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.,16,4
Obs_Value = 0;  No unemployment protection programme anchored in national legislation,3,1
Obs_Value = 0;  Observation value represents the number of countries with national statistical plans that are fully funded,1,1
Obs_Value = 0;  Observation values: 3 = High level of participation; 2 = Moderate level of participation; 1 = Low level of participation; 0 = Not applicable.,1,1
"Obs_Value = 0;  Out of 14 local breeds, 50% are of unknown status",2,1
"Obs_Value = 0;  Out of 15 local breeds, 47% are of unknown status",2,1
"Obs_Value = 0;  Out of 16 local breeds, 44% are of unknown status",2,1
"Obs_Value = 0;  Out of 16 local breeds, 50% are of unknown status",1,1
"Obs_Value = 0;  Out of 16 local breeds, 56% are of unknown status",1,1
"Obs_Value = 0;  Out of 20 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",2,1
"Obs_Value = 0;  Out of 36 transboundary breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",2,1
"Obs_Value = 0;  Out of 4 local breeds, 25% are of unknown status",2,1
"Obs_Value = 0;  Out of 5 local breeds, 0% are of unknown status",2,1
Obs_Value = 0;  Represent 1996 proxy,5,1
Obs_Value = 0;  Responses to a set of key questons have been included in this dataset. ,1,1
"Obs_Value = 0;  Survey-based estimate, using household total consumption expenditure in the denominator",1,1
Obs_Value = 0;  This data point is NIL for the submitting nation.,61,2
Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,170,2
"Obs_Value = 0;  Unicameral: (National Assembly), No Committee, Data valid as of 1 Jan of given year",1,1
"Obs_Value = 0;  Value ""1"" represents country's birth registration data are at least 90 per cent complete. ""0"" represents country's birth registration data are less than 90 per cent complete.",1,1
"Obs_Value = 0;  Value ""1"" represents country's death registration data are at least 75 per cent complete. ""0"" represents country's death registration data are less than 75 per cent complete.",1,1
Obs_Value = 0;  WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,3,1
Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,4,2
Obs_Value = 0;  ,32,17
Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,2,1
Observation value: 3 = High level of participation; 2 = Moderate level of participation; 1 = Low level of participation; 0 = Not applicable.,1,1
Observation value represents the number of countries with national statistical plans that are under implementation,1,1
Observation value represents the number of countries with national statistical plans with funding from donors,2,1
Observation values: 10 = Clearly defined procedures; 5 = Not clearly defined  procedures; 0 = Not applicable.,2,1
Observation values: 3 = High level of participation; 2 = Moderate level of participation; 1 = Low level of participation; 0 = Not applicable.,1,1
Oedema data was not considered in the analysis; Height/length modality (standing/lying) was not collected ,2,1
Official country report to FAO (FRA 2020),6,2
"Out of 19 local breeds, 42% are of unknown status",2,1
"Out of 19 local breeds, 47% are of unknown status",1,1
Partial data,1,1
"Parties  refers to Parties to the Convention on Biological Diversity that have ratified, accepted, approved or acceded the Nagoya Protocol, including those for which the Protocol has not yet entered into force following the 90 days period set out in Artic",1,1
Reference to Target 9 was a requirement,1,1
Refers to total population. Country estimates 17.5% for population age 12+.,1,1
Refers to total population. Survey result: 14.5% for population age 12+.,1,1
Refers to total population. Survey result: 16% for population age 12+.,1,1
Refers to total population.,1,1
Repository: ILO-STATISTICS - Micro data processing,36,1
Represent 1996 proxy,2,1
Responses to a set of key questons have been included in this dataset. ,1,1
Self-reported ownership is used for the estimates,3,1
septembre 2019,3,1
Source: DRSP Document de Stratégie pour la croissance et la Réduction de la Pauvreté 2006-2010. Poverty line is absolute.,1,1
Source: Poverty line is absolute. Government estimate.,1,1
Source: Poverty line is absolute.,1,1
"SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ ) and disseminated to WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/",13,1
SPAR questionaire for IHR Annual reporting same as 2018 and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ ) and disseminated to WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework),13,1
"Survey-based estimate, using household total consumption expenditure in the denominator",5,1
"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",1,1
"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",3,2
The individual is listed as an owner of the parcel if she/he has a legal document under her/his name in the households where at least one member has cultivated land.,1,1
"The observation represents the 3-year average of the period 2014-2016. For years when official national data are not available, the values are projected using FAO data or estimates",4,1
The observation represents the 3-year average of the period 2014-2016.,8,1
"The observation represents the 3-year average of the period 2015-2017. For years when official national data are not available, the values are projected using FAO data or estimates",4,1
The observation represents the 3-year average of the period 2015-2017.,8,1
"The observation represents the 3-year average of the period 2016-2018. For years when official national data are not available, the values are projected using FAO data or estimates",4,1
The observation represents the 3-year average of the period 2016-2018.,8,1
"The observation represents the 3-year average of the period 2017-2019. For years when official national data are not available, the values are projected using FAO data or estimates",4,1
The observation represents the 3-year average of the period 2017-2019.,8,1
"The observation represents the 3-year average of the period 2018-2020. For years when official national data are not available, the values are projected using FAO data or estimates",4,1
The observation represents the 3-year average of the period 2018-2020.,8,1
"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",4,1
The observation represents the 3-year average of the period 2019-2021.,8,1
The quantities of waste collected by municipal services cover only a few years and are available only for the urban community of Dakar.,1,1
The series has been backcasted to include territorial waters.,1,1
"The total amount of electronic WEEE collected concerns only equipment such as computers, telephones (fixed and portable), modem printers, routers, inverters. Household WEEE such as televisions, irons, refrigerators, microwaves, etc ... are not part of it.",1,1
The total WEEE covers only computers and laptops.,1,1
Third quarter of the specified year. Global SmaRT Average: 4.47%.,1,1
Third quarter of the specified year. Global SmaRT Average: 4.65%.,1,1
Third quarter of the specified year. Global SmaRT Average: 5.20%.,1,1
Third quarter of the specified year. Global SmaRT Average: 5:80%.,1,1
Third quarter of the specified year.,3,1
Total population is restricted to household head and wife due to data limitations.,2,1
Total population is restricted to household head and wife of rural population due to data limitations.,1,1
"Unicameral: (National Assembly), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division - World Population Prospects to calculate ratios; the ratio can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	1 means over-representation of ‘youth’ (45 years and below) in parliament ",1,1
"Unicameral: (National Assembly), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	1 means over-representation of women in parliament ",1,1
"Unicameral: (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election ",1,1
"Unicameral: (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election",1,1
"Unicameral: (National Assembly), Data valid as of 1 Jan of given year; population figures used from United Nations Population Division - World Population Prospects to calculate ratios; the ratio can be interpreted as follows:  
-	0 means no representation",1,1
"Unicameral: (National Assembly), Data valid as of 1 Jan of given year; population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation ",1,1
"Unicameral: (National Assembly), Data valid as of 1 Jan of given year",7,2
Very Low Confidence,2,1
WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,13,1
Year-end value for installed capacity (watts) and mid-year for population ,8,2
