Year,SDG Series,Degree of urbanisation,Value
2005,Proportion of population using basic drinking water services [1.4.1],Urban,87
2006,Proportion of population using basic drinking water services [1.4.1],Urban,87
2007,Proportion of population using basic drinking water services [1.4.1],Urban,87
2008,Proportion of population using basic drinking water services [1.4.1],Urban,87
2009,Proportion of population using basic drinking water services [1.4.1],Urban,87
2010,Proportion of population using basic drinking water services [1.4.1],Urban,87
2011,Proportion of population using basic drinking water services [1.4.1],Urban,87
2012,Proportion of population using basic drinking water services [1.4.1],Urban,87
2013,Proportion of population using basic drinking water services [1.4.1],Urban,87
2014,Proportion of population using basic drinking water services [1.4.1],Urban,87
2015,Proportion of population using basic drinking water services [1.4.1],Urban,87
2016,Proportion of population using basic drinking water services [1.4.1],Urban,87
2017,Proportion of population using basic drinking water services [1.4.1],Urban,87
2018,Proportion of population using basic drinking water services [1.4.1],Urban,87
2019,Proportion of population using basic drinking water services [1.4.1],Urban,87
2020,Proportion of population using basic drinking water services [1.4.1],Urban,87
2000,Proportion of population using basic sanitation services [1.4.1],,31
2001,Proportion of population using basic sanitation services [1.4.1],,31
2002,Proportion of population using basic sanitation services [1.4.1],,31
2003,Proportion of population using basic sanitation services [1.4.1],,31
2004,Proportion of population using basic sanitation services [1.4.1],,31
2005,Proportion of population using basic sanitation services [1.4.1],,31
2006,Proportion of population using basic sanitation services [1.4.1],,31
2007,Proportion of population using basic sanitation services [1.4.1],,32
2008,Proportion of population using basic sanitation services [1.4.1],,32
2009,Proportion of population using basic sanitation services [1.4.1],,32
2010,Proportion of population using basic sanitation services [1.4.1],,32
2011,Proportion of population using basic sanitation services [1.4.1],,32
2012,Proportion of population using basic sanitation services [1.4.1],,32
2013,Proportion of population using basic sanitation services [1.4.1],,32
2014,Proportion of population using basic sanitation services [1.4.1],,32
2015,Proportion of population using basic sanitation services [1.4.1],,32
2016,Proportion of population using basic sanitation services [1.4.1],,32
2017,Proportion of population using basic sanitation services [1.4.1],,32
2018,Proportion of population using basic sanitation services [1.4.1],,33
2019,Proportion of population using basic sanitation services [1.4.1],,33
2020,Proportion of population using basic sanitation services [1.4.1],,33
2000,Proportion of population using basic sanitation services [1.4.1],Rural,29
2001,Proportion of population using basic sanitation services [1.4.1],Rural,30
2002,Proportion of population using basic sanitation services [1.4.1],Rural,30
2003,Proportion of population using basic sanitation services [1.4.1],Rural,30
2004,Proportion of population using basic sanitation services [1.4.1],Rural,30
2005,Proportion of population using basic sanitation services [1.4.1],Rural,30
2006,Proportion of population using basic sanitation services [1.4.1],Rural,30
2007,Proportion of population using basic sanitation services [1.4.1],Rural,30
2008,Proportion of population using basic sanitation services [1.4.1],Rural,30
2009,Proportion of population using basic sanitation services [1.4.1],Rural,31
2010,Proportion of population using basic sanitation services [1.4.1],Rural,31
2011,Proportion of population using basic sanitation services [1.4.1],Rural,31
2012,Proportion of population using basic sanitation services [1.4.1],Rural,31
2013,Proportion of population using basic sanitation services [1.4.1],Rural,31
2014,Proportion of population using basic sanitation services [1.4.1],Rural,31
2015,Proportion of population using basic sanitation services [1.4.1],Rural,31
2016,Proportion of population using basic sanitation services [1.4.1],Rural,31
2017,Proportion of population using basic sanitation services [1.4.1],Rural,31
2018,Proportion of population using basic sanitation services [1.4.1],Rural,31
2019,Proportion of population using basic sanitation services [1.4.1],Rural,31
2020,Proportion of population using basic sanitation services [1.4.1],Rural,32
2000,Proportion of population using basic sanitation services [1.4.1],Urban,35
2001,Proportion of population using basic sanitation services [1.4.1],Urban,35
2002,Proportion of population using basic sanitation services [1.4.1],Urban,35
2003,Proportion of population using basic sanitation services [1.4.1],Urban,35
2004,Proportion of population using basic sanitation services [1.4.1],Urban,35
2005,Proportion of population using basic sanitation services [1.4.1],Urban,35
2006,Proportion of population using basic sanitation services [1.4.1],Urban,35
2007,Proportion of population using basic sanitation services [1.4.1],Urban,36
2008,Proportion of population using basic sanitation services [1.4.1],Urban,36
2009,Proportion of population using basic sanitation services [1.4.1],Urban,36
2010,Proportion of population using basic sanitation services [1.4.1],Urban,36
2011,Proportion of population using basic sanitation services [1.4.1],Urban,36
2012,Proportion of population using basic sanitation services [1.4.1],Urban,36
2013,Proportion of population using basic sanitation services [1.4.1],Urban,36
2014,Proportion of population using basic sanitation services [1.4.1],Urban,36
2015,Proportion of population using basic sanitation services [1.4.1],Urban,36
2016,Proportion of population using basic sanitation services [1.4.1],Urban,36
2017,Proportion of population using basic sanitation services [1.4.1],Urban,36
2018,Proportion of population using basic sanitation services [1.4.1],Urban,36
2019,Proportion of population using basic sanitation services [1.4.1],Urban,36
2020,Proportion of population using basic sanitation services [1.4.1],Urban,36
