Year,SDG Series,Sex,Occupation,Unit of measure,Value
2017,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",10.59
2018,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",11.66
2002,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.22
2008,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.25
2009,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.25
2010,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.21
2011,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.22
2012,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.22
2013,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.23
2014,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.23
2018,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.16
2019,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.25
2004,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.5
2008,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.72
2009,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.71
2010,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.74
2012,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.47
2013,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.48
2014,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.5
2018,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.19
2020,"Health worker distribution, by sex and type of occupation [3.c.1]",Female,Medical doctors,Percent,43.06
2013,"Health worker distribution, by sex and type of occupation [3.c.1]",Female,Nursing and midwifery personnel,Percent,77.86
2014,"Health worker distribution, by sex and type of occupation [3.c.1]",Female,Nursing and midwifery personnel,Percent,77.64
2015,"Health worker distribution, by sex and type of occupation [3.c.1]",Female,Nursing and midwifery personnel,Percent,77.46
2016,"Health worker distribution, by sex and type of occupation [3.c.1]",Female,Nursing and midwifery personnel,Percent,76.92
2017,"Health worker distribution, by sex and type of occupation [3.c.1]",Female,Nursing and midwifery personnel,Percent,76.45
2018,"Health worker distribution, by sex and type of occupation [3.c.1]",Female,Nursing and midwifery personnel,Percent,75.87
2020,"Health worker distribution, by sex and type of occupation [3.c.1]",Female,Nursing and midwifery personnel,Percent,69.52
2020,"Health worker distribution, by sex and type of occupation [3.c.1]",Male,Medical doctors,Percent,56.94
2013,"Health worker distribution, by sex and type of occupation [3.c.1]",Male,Nursing and midwifery personnel,Percent,22.14
2014,"Health worker distribution, by sex and type of occupation [3.c.1]",Male,Nursing and midwifery personnel,Percent,22.36
2015,"Health worker distribution, by sex and type of occupation [3.c.1]",Male,Nursing and midwifery personnel,Percent,22.54
2016,"Health worker distribution, by sex and type of occupation [3.c.1]",Male,Nursing and midwifery personnel,Percent,23.08
2017,"Health worker distribution, by sex and type of occupation [3.c.1]",Male,Nursing and midwifery personnel,Percent,23.55
2018,"Health worker distribution, by sex and type of occupation [3.c.1]",Male,Nursing and midwifery personnel,Percent,24.13
2020,"Health worker distribution, by sex and type of occupation [3.c.1]",Male,Nursing and midwifery personnel,Percent,30.48
