Year,SDG Series,Degree of urbanisation,Value
2011,Proportion of population practicing open defecation [6.2.1],Urban,2
2012,Proportion of population practicing open defecation [6.2.1],Urban,2
2013,Proportion of population practicing open defecation [6.2.1],Urban,2
2014,Proportion of population practicing open defecation [6.2.1],Urban,2
2015,Proportion of population practicing open defecation [6.2.1],Urban,2
2016,Proportion of population practicing open defecation [6.2.1],Urban,2
2017,Proportion of population practicing open defecation [6.2.1],Urban,2
2018,Proportion of population practicing open defecation [6.2.1],Urban,2
2019,Proportion of population practicing open defecation [6.2.1],Urban,1
2020,Proportion of population practicing open defecation [6.2.1],Urban,1
2011,Proportion of population with basic handwashing facilities on premises [6.2.1],,21
2012,Proportion of population with basic handwashing facilities on premises [6.2.1],,21
2013,Proportion of population with basic handwashing facilities on premises [6.2.1],,21
2014,Proportion of population with basic handwashing facilities on premises [6.2.1],,21
2015,Proportion of population with basic handwashing facilities on premises [6.2.1],,21
2016,Proportion of population with basic handwashing facilities on premises [6.2.1],,22
2017,Proportion of population with basic handwashing facilities on premises [6.2.1],,22
2018,Proportion of population with basic handwashing facilities on premises [6.2.1],,22
2019,Proportion of population with basic handwashing facilities on premises [6.2.1],,22
2020,Proportion of population with basic handwashing facilities on premises [6.2.1],,22
2011,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,10
2012,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,10
2013,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,10
2014,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,10
2015,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,10
2016,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,10
2017,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,10
2018,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,10
2019,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,10
2020,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,10
2011,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,35
2012,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,35
2013,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,35
2014,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,35
2015,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,35
2016,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,35
2017,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,35
2018,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,35
2019,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,35
2020,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,35
2000,Proportion of population using safely managed sanitation services [6.2.1],,14
2001,Proportion of population using safely managed sanitation services [6.2.1],,14
2002,Proportion of population using safely managed sanitation services [6.2.1],,15
2003,Proportion of population using safely managed sanitation services [6.2.1],,15
2004,Proportion of population using safely managed sanitation services [6.2.1],,15
2005,Proportion of population using safely managed sanitation services [6.2.1],,16
2006,Proportion of population using safely managed sanitation services [6.2.1],,16
2007,Proportion of population using safely managed sanitation services [6.2.1],,16
2008,Proportion of population using safely managed sanitation services [6.2.1],,17
2009,Proportion of population using safely managed sanitation services [6.2.1],,17
2010,Proportion of population using safely managed sanitation services [6.2.1],,18
2011,Proportion of population using safely managed sanitation services [6.2.1],,18
2012,Proportion of population using safely managed sanitation services [6.2.1],,19
2013,Proportion of population using safely managed sanitation services [6.2.1],,20
2014,Proportion of population using safely managed sanitation services [6.2.1],,20
2015,Proportion of population using safely managed sanitation services [6.2.1],,21
2016,Proportion of population using safely managed sanitation services [6.2.1],,22
2017,Proportion of population using safely managed sanitation services [6.2.1],,22
2018,Proportion of population using safely managed sanitation services [6.2.1],,23
2019,Proportion of population using safely managed sanitation services [6.2.1],,24
2020,Proportion of population using safely managed sanitation services [6.2.1],,24
2000,Proportion of population using safely managed sanitation services [6.2.1],Rural,13
2001,Proportion of population using safely managed sanitation services [6.2.1],Rural,13
2002,Proportion of population using safely managed sanitation services [6.2.1],Rural,14
2003,Proportion of population using safely managed sanitation services [6.2.1],Rural,14
2004,Proportion of population using safely managed sanitation services [6.2.1],Rural,15
2005,Proportion of population using safely managed sanitation services [6.2.1],Rural,15
2006,Proportion of population using safely managed sanitation services [6.2.1],Rural,16
2007,Proportion of population using safely managed sanitation services [6.2.1],Rural,17
2008,Proportion of population using safely managed sanitation services [6.2.1],Rural,17
2009,Proportion of population using safely managed sanitation services [6.2.1],Rural,18
2010,Proportion of population using safely managed sanitation services [6.2.1],Rural,18
2011,Proportion of population using safely managed sanitation services [6.2.1],Rural,19
2012,Proportion of population using safely managed sanitation services [6.2.1],Rural,19
2013,Proportion of population using safely managed sanitation services [6.2.1],Rural,20
2014,Proportion of population using safely managed sanitation services [6.2.1],Rural,20
2015,Proportion of population using safely managed sanitation services [6.2.1],Rural,21
2016,Proportion of population using safely managed sanitation services [6.2.1],Rural,22
2017,Proportion of population using safely managed sanitation services [6.2.1],Rural,22
2018,Proportion of population using safely managed sanitation services [6.2.1],Rural,23
2019,Proportion of population using safely managed sanitation services [6.2.1],Rural,23
2020,Proportion of population using safely managed sanitation services [6.2.1],Rural,24
2000,Proportion of population using safely managed sanitation services [6.2.1],Urban,16
2001,Proportion of population using safely managed sanitation services [6.2.1],Urban,16
2002,Proportion of population using safely managed sanitation services [6.2.1],Urban,16
2003,Proportion of population using safely managed sanitation services [6.2.1],Urban,16
2004,Proportion of population using safely managed sanitation services [6.2.1],Urban,16
2005,Proportion of population using safely managed sanitation services [6.2.1],Urban,16
2006,Proportion of population using safely managed sanitation services [6.2.1],Urban,16
2007,Proportion of population using safely managed sanitation services [6.2.1],Urban,16
2008,Proportion of population using safely managed sanitation services [6.2.1],Urban,16
2009,Proportion of population using safely managed sanitation services [6.2.1],Urban,16
2010,Proportion of population using safely managed sanitation services [6.2.1],Urban,17
2011,Proportion of population using safely managed sanitation services [6.2.1],Urban,18
2012,Proportion of population using safely managed sanitation services [6.2.1],Urban,19
2013,Proportion of population using safely managed sanitation services [6.2.1],Urban,19
2014,Proportion of population using safely managed sanitation services [6.2.1],Urban,20
2015,Proportion of population using safely managed sanitation services [6.2.1],Urban,21
2016,Proportion of population using safely managed sanitation services [6.2.1],Urban,22
2017,Proportion of population using safely managed sanitation services [6.2.1],Urban,23
2018,Proportion of population using safely managed sanitation services [6.2.1],Urban,23
2019,Proportion of population using safely managed sanitation services [6.2.1],Urban,24
2020,Proportion of population using safely managed sanitation services [6.2.1],Urban,24
