Year,UNIT_MULT,NATURE,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SDG Series,Sex,Age,Unit of measure,Unit multiplier,Nature of data points,Observation-level footnotes,Upper bound value,Lower bound value,Source details,Value
2019,0,G,The observation represents the 3-year average of the period 2018-2020.,47.4,35.8,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,52.3,40.7,Food and Agriculture Organization of the United Nations (FAO),41.6
2020,0,G,The observation represents the 3-year average of the period 2019-2021.,52.3,40.7,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,52.3,40.7,Food and Agriculture Organization of the United Nations (FAO),46.5
2015,0,G,The observation represents the 3-year average of the period 2014-2016.,52.7,40.4,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,64.9,52.6,Food and Agriculture Organization of the United Nations (FAO),46.5
2016,0,G,The observation represents the 3-year average of the period 2015-2017.,50.4,38.1,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,64.9,52.6,Food and Agriculture Organization of the United Nations (FAO),44.3
2017,0,G,The observation represents the 3-year average of the period 2016-2018.,48.8,36.5,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,64.9,52.6,Food and Agriculture Organization of the United Nations (FAO),42.7
2018,0,G,The observation represents the 3-year average of the period 2017-2019.,53.9,41.6,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,64.9,52.6,Food and Agriculture Organization of the United Nations (FAO),47.7
2019,0,G,The observation represents the 3-year average of the period 2018-2020.,58.7,46.4,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,64.9,52.6,Food and Agriculture Organization of the United Nations (FAO),52.6
2020,0,G,The observation represents the 3-year average of the period 2019-2021.,64.9,52.6,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,64.9,52.6,Food and Agriculture Organization of the United Nations (FAO),58.7
2015,3,CA,"The observation represents the 3-year average of the period 2014-2016. For years when official national data are not available, the values are projected using FAO data or estimates",6037.2,5336.9,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",8644.5,7840.3,National Entity,5687.0
2016,3,CA,"The observation represents the 3-year average of the period 2015-2017. For years when official national data are not available, the values are projected using FAO data or estimates",5927.5,5207.3,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",8644.5,7840.3,National Entity,5567.4
2017,3,CA,"The observation represents the 3-year average of the period 2016-2018. For years when official national data are not available, the values are projected using FAO data or estimates",5889.4,5148.8,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",8644.5,7840.3,National Entity,5519.1
2018,3,CA,"The observation represents the 3-year average of the period 2017-2019. For years when official national data are not available, the values are projected using FAO data or estimates",6720.7,5959.2,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",8644.5,7840.3,National Entity,6340.0
2019,3,CA,"The observation represents the 3-year average of the period 2018-2020. For years when official national data are not available, the values are projected using FAO data or estimates",7568.5,6785.8,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",8644.5,7840.3,National Entity,7177.2
2020,3,CA,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",8644.5,7840.3,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",8644.5,7840.3,National Entity,8242.4
2015,3,G,The observation represents the 3-year average of the period 2014-2016.,1861.1,1354.3,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,2647.2,2059.5,Food and Agriculture Organization of the United Nations (FAO),1607.7
2016,3,G,The observation represents the 3-year average of the period 2015-2017.,1836.4,1314.6,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,2647.2,2059.5,Food and Agriculture Organization of the United Nations (FAO),1575.5
2017,3,G,The observation represents the 3-year average of the period 2016-2018.,1832.6,1295.3,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,2647.2,2059.5,Food and Agriculture Organization of the United Nations (FAO),1563.9
2018,3,G,The observation represents the 3-year average of the period 2017-2019.,2077.1,1523.6,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,2647.2,2059.5,Food and Agriculture Organization of the United Nations (FAO),1800.3
2019,3,G,The observation represents the 3-year average of the period 2018-2020.,2328.3,1758.1,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,2647.2,2059.5,Food and Agriculture Organization of the United Nations (FAO),2043.2
2020,3,G,The observation represents the 3-year average of the period 2019-2021.,2647.2,2059.5,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,2647.2,2059.5,Food and Agriculture Organization of the United Nations (FAO),2353.3
2015,3,G,The observation represents the 3-year average of the period 2014-2016.,2045.9,1568.4,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,2958.3,2397.8,Food and Agriculture Organization of the United Nations (FAO),1807.1
2016,3,G,The observation represents the 3-year average of the period 2015-2017.,2019.7,1527.5,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,2958.3,2397.8,Food and Agriculture Organization of the United Nations (FAO),1773.6
2017,3,G,The observation represents the 3-year average of the period 2016-2018.,2018.9,1510.7,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,2958.3,2397.8,Food and Agriculture Organization of the United Nations (FAO),1764.8
2018,3,G,The observation represents the 3-year average of the period 2017-2019.,2300,1775.2,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,2958.3,2397.8,Food and Agriculture Organization of the United Nations (FAO),2037.6
2019,3,G,The observation represents the 3-year average of the period 2018-2020.,2590.3,2048,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,2958.3,2397.8,Food and Agriculture Organization of the United Nations (FAO),2319.1
2020,3,G,The observation represents the 3-year average of the period 2019-2021.,2958.3,2397.8,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,2958.3,2397.8,Food and Agriculture Organization of the United Nations (FAO),2678.0
2015,0,CA,"The observation represents the 3-year average of the period 2014-2016. For years when official national data are not available, the values are projected using FAO data or estimates",8.7,6.3,National Entity,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",12.4,10,National Entity,7.5
2016,0,CA,"The observation represents the 3-year average of the period 2015-2017. For years when official national data are not available, the values are projected using FAO data or estimates",8.4,6,National Entity,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",12.4,10,National Entity,7.2
2017,0,CA,"The observation represents the 3-year average of the period 2016-2018. For years when official national data are not available, the values are projected using FAO data or estimates",8.2,5.8,National Entity,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",12.4,10,National Entity,7.0
2018,0,CA,"The observation represents the 3-year average of the period 2017-2019. For years when official national data are not available, the values are projected using FAO data or estimates",9.9,7.5,National Entity,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",12.4,10,National Entity,8.7
2019,0,CA,"The observation represents the 3-year average of the period 2018-2020. For years when official national data are not available, the values are projected using FAO data or estimates",11.2,8.8,National Entity,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",12.4,10,National Entity,10.0
2020,0,CA,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",12.4,10,National Entity,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",12.4,10,National Entity,11.2
2015,0,G,The observation represents the 3-year average of the period 2014-2016.,18.1,11.4,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,25.5,18.8,Food and Agriculture Organization of the United Nations (FAO),14.7
2016,0,G,The observation represents the 3-year average of the period 2015-2017.,17.5,10.8,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,25.5,18.8,Food and Agriculture Organization of the United Nations (FAO),14.2
2017,0,G,The observation represents the 3-year average of the period 2016-2018.,17.2,10.5,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,25.5,18.8,Food and Agriculture Organization of the United Nations (FAO),13.9
2018,0,G,The observation represents the 3-year average of the period 2017-2019.,20.5,13.8,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,25.5,18.8,Food and Agriculture Organization of the United Nations (FAO),17.1
2019,0,G,The observation represents the 3-year average of the period 2018-2020.,23,16.3,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,25.5,18.8,Food and Agriculture Organization of the United Nations (FAO),19.7
2020,0,G,The observation represents the 3-year average of the period 2019-2021.,25.5,18.8,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,25.5,18.8,Food and Agriculture Organization of the United Nations (FAO),22.1
2015,0,G,The observation represents the 3-year average of the period 2014-2016.,20.9,13.5,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,29.6,22.2,Food and Agriculture Organization of the United Nations (FAO),17.2
2016,0,G,The observation represents the 3-year average of the period 2015-2017.,20.2,12.9,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,29.6,22.2,Food and Agriculture Organization of the United Nations (FAO),16.6
2017,0,G,The observation represents the 3-year average of the period 2016-2018.,19.9,12.5,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,29.6,22.2,Food and Agriculture Organization of the United Nations (FAO),16.2
2018,0,G,The observation represents the 3-year average of the period 2017-2019.,23.7,16.4,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,29.6,22.2,Food and Agriculture Organization of the United Nations (FAO),20.0
2019,0,G,The observation represents the 3-year average of the period 2018-2020.,26.7,19.3,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,29.6,22.2,Food and Agriculture Organization of the United Nations (FAO),23.0
2020,0,G,The observation represents the 3-year average of the period 2019-2021.,29.6,22.2,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,29.6,22.2,Food and Agriculture Organization of the United Nations (FAO),25.9
2015,3,CA,"The observation represents the 3-year average of the period 2014-2016. For years when official national data are not available, the values are projected using FAO data or estimates",1263.3,913.1,National Entity,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",2078,1675.9,National Entity,1088.2
2016,3,CA,"The observation represents the 3-year average of the period 2015-2017. For years when official national data are not available, the values are projected using FAO data or estimates",1255.2,895.1,National Entity,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",2078,1675.9,National Entity,1075.2
2017,3,CA,"The observation represents the 3-year average of the period 2016-2018. For years when official national data are not available, the values are projected using FAO data or estimates",1268.2,897.9,National Entity,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",2078,1675.9,National Entity,1083.1
2018,3,CA,"The observation represents the 3-year average of the period 2017-2019. For years when official national data are not available, the values are projected using FAO data or estimates",1565.2,1184.5,National Entity,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",2078,1675.9,National Entity,1374.9
2019,3,CA,"The observation represents the 3-year average of the period 2018-2020. For years when official national data are not available, the values are projected using FAO data or estimates",1818.7,1427.3,National Entity,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",2078,1675.9,National Entity,1623.0
2020,3,CA,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",2078,1675.9,National Entity,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",2078,1675.9,National Entity,1876.9
2015,3,G,The observation represents the 3-year average of the period 2014-2016.,789.7,496.4,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,1290.1,950,Food and Agriculture Organization of the United Nations (FAO),643.0
2016,3,G,The observation represents the 3-year average of the period 2015-2017.,787,485,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,1290.1,950,Food and Agriculture Organization of the United Nations (FAO),636.0
2017,3,G,The observation represents the 3-year average of the period 2016-2018.,797,486.1,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,1290.1,950,Food and Agriculture Organization of the United Nations (FAO),641.5
2018,3,G,The observation represents the 3-year average of the period 2017-2019.,976.4,656.1,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,1290.1,950,Food and Agriculture Organization of the United Nations (FAO),816.2
2019,3,G,The observation represents the 3-year average of the period 2018-2020.,1130.9,800.9,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,1290.1,950,Food and Agriculture Organization of the United Nations (FAO),965.9
2020,3,G,The observation represents the 3-year average of the period 2019-2021.,1290.1,950,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,1290.1,950,Food and Agriculture Organization of the United Nations (FAO),1120.0
2015,3,G,The observation represents the 3-year average of the period 2014-2016.,812.9,526.1,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,1348.8,1012.1,Food and Agriculture Organization of the United Nations (FAO),669.5
2016,3,G,The observation represents the 3-year average of the period 2015-2017.,811,515.4,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,1348.8,1012.1,Food and Agriculture Organization of the United Nations (FAO),663.2
2017,3,G,The observation represents the 3-year average of the period 2016-2018.,823.2,518,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,1348.8,1012.1,Food and Agriculture Organization of the United Nations (FAO),670.6
2018,3,G,The observation represents the 3-year average of the period 2017-2019.,1013.5,698.2,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,1348.8,1012.1,Food and Agriculture Organization of the United Nations (FAO),855.9
2019,3,G,The observation represents the 3-year average of the period 2018-2020.,1178.5,852.7,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,1348.8,1012.1,Food and Agriculture Organization of the United Nations (FAO),1015.6
2020,3,G,The observation represents the 3-year average of the period 2019-2021.,1348.8,1012.1,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,1348.8,1012.1,Food and Agriculture Organization of the United Nations (FAO),1180.5
