Year,NATURE,SOURCE_DETAIL,SDG Series,Sex,Degree of urbanisation,Income or wealth quantile,Education level,Composite breakdown,Source details,COMMENT_OBS,Observation-level footnotes,Value
2000,C,"Senegal MICS 2000. World Inequality Database on Education (WIDE), June 2019.; Data extracted on 01 April 2022.","Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.5011
2002,C,"Senegal General Census of Population and Housing 2002. IPUMS-Intertiol, tiol Agency of Statistics and Demography.; Data extracted on 01 April 2022.","Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.6346
2005,C,Senegal DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.58389
2011,C,Senegal DHS 2010-11. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.62937
2014,C,"Senegal DHS 2014. World Inequality Database on Education (WIDE), June 2019.; Data extracted on 01 April 2022.","Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.68917
2015,C,Senegal DHS 2015. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.64598
2016,C,Senegal DHS 2015-16. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,1.03731
2017,C,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.84659
2018,C,Senegal DHS 2018. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,1.06581
2019,C,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,1.10041
2000,C,"Senegal MICS 2000. World Inequality Database on Education (WIDE), June 2019.; Data extracted on 01 April 2022.","Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.29692
2002,C,"Senegal General Census of Population and Housing 2002. IPUMS-Intertiol, tiol Agency of Statistics and Demography.; Data extracted on 01 April 2022.","Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.6665
2005,C,Senegal DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.42339
2011,C,Senegal DHS 2010-11. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.75391
2014,C,"Senegal DHS 2014. World Inequality Database on Education (WIDE), June 2019.; Data extracted on 01 April 2022.","Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.35318
2015,C,Senegal DHS 2015. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.62555
2016,C,Senegal DHS 2015-16. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.57861
2017,C,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.70107
2018,C,Senegal DHS 2018. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.92726
2019,C,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.84204
2005,C,Senegal DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 1 (poorest),Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.21516
2011,C,Senegal DHS 2010-11. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 1 (poorest),Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.85738
2015,C,Senegal DHS 2015. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 1 (poorest),Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.84898
2016,C,Senegal DHS 2015-16. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 1 (poorest),Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.95988
2017,C,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 1 (poorest),Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.85557
2018,C,Senegal DHS 2018. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 1 (poorest),Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.79599
2019,C,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 1 (poorest),Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,1.02625
2005,C,Senegal DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 1 (poorest),Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NIL for the submitting nation.,Obs_Value = 0;  This data point is NIL for the submitting nation.,0.0
2011,C,Senegal DHS 2010-11. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 1 (poorest),Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NIL for the submitting nation.,0.32474
2015,C,Senegal DHS 2015. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 1 (poorest),Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NIL for the submitting nation.,0.35024
2016,C,Senegal DHS 2015-16. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 1 (poorest),Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NIL for the submitting nation.,0.68114
2017,C,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 1 (poorest),Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NIL for the submitting nation.,0.56902
2018,C,Senegal DHS 2018. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 1 (poorest),Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NIL for the submitting nation.,0.81714
2019,C,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 1 (poorest),Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NIL for the submitting nation.,0.30909
2005,C,Senegal DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 1 (poorest),Upper secondary education,,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NIL for the submitting nation.,1.0
2011,C,Senegal DHS 2010-11. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 1 (poorest),Upper secondary education,,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NIL for the submitting nation.,0.0975
2016,C,Senegal DHS 2015-16. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 1 (poorest),Upper secondary education,,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NIL for the submitting nation.,Obs_Value = 0;  This data point is NIL for the submitting nation.,0.0
2017,C,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 1 (poorest),Upper secondary education,,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NIL for the submitting nation.,Obs_Value = 0;  This data point is NIL for the submitting nation.,0.0
2005,C,Senegal DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 2,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.67268
2011,C,Senegal DHS 2010-11. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 2,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.78395
2015,C,Senegal DHS 2015. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 2,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,1.08963
2016,C,Senegal DHS 2015-16. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 2,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,1.00882
2017,C,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 2,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,1.04886
2018,C,Senegal DHS 2018. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 2,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.93839
2019,C,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 2,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,1.05682
2005,C,Senegal DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 2,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.2365
2011,C,Senegal DHS 2010-11. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 2,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.47467
2015,C,Senegal DHS 2015. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 2,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.4302
2016,C,Senegal DHS 2015-16. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 2,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,1.23876
2017,C,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 2,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.81136
2018,C,Senegal DHS 2018. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 2,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.83943
2019,C,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 2,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.78703
2005,C,Senegal DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 2,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NIL for the submitting nation.,Obs_Value = 0;  This data point is NIL for the submitting nation.,0.0
2011,C,Senegal DHS 2010-11. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 2,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NIL for the submitting nation.,0.12802
2015,C,Senegal DHS 2015. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 2,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NIL for the submitting nation.,0.46913
2016,C,Senegal DHS 2015-16. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 2,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NIL for the submitting nation.,0.2613
2017,C,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 2,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NIL for the submitting nation.,0.36613
2018,C,Senegal DHS 2018. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 2,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NIL for the submitting nation.,1.54852
2019,C,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 2,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NIL for the submitting nation.,0.18089
2005,C,Senegal DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 3,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.65763
