Year,SOURCE_DETAIL,SDG Series,Composite breakdown,Source details,Value
2019,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2019 ","Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.5291
2020,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2020","Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.5291
2021,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021","Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.5291
2000,IFC 2000 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.57471
2005,IFC 2005 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.5618
2010,IFC 2010 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.54945
2015,IFC 2015 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.54348
2016,IFC 2016 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.54348
2017,IFC 2017 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.54348
2018,IFC 2018 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.54348
2019,IFC 2019 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.5435
2020,IFC 2020 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.54054
2021,IFC 2021 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.54054
2000,IMF Annual Report 2000,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.5618
2005,IMF Annual Report 2005,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.55249
2010,IMF Annual Report 2010,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.54945
2015,IMF Annual Report 2015,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.53191
2016,IMF Annual Report 2016,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.53191
2017,IMF Annual Report 2017,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.5291
2018,IMF Annual Report 2018,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.5291
2019,IMF Annual Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.5291
2020,IMF Annual Report 2020,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.5291
2021,IMF Annual Report 2021,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.52632
2000,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5291
2005,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.52356
2010,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.52083
2015,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2016,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2017,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2018,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2019,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2020,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2021,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2016,Report of the Security Council (A/71/2),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Report of the Security Council for 2017 (A/72/2),6.66667
2017,Report of the Security Council for 2017 (A/72/2),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Report of the Security Council for 2017 (A/72/2),6.66667
2000,WTO Annual Report 2015,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.71429
2005,WTO Annual Report 2015,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.67114
2010,WTO Annual Report 2015,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.65359
2015,WTO Annual Report 2015,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.625
2016,WTO Annual Report 2016,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.61728
2017,WTO Annual Report 2017,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.60976
2018,WTO Annual Report 2018,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.60976
2019,WTO Annual Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.60976
2020,WTO Annual Report 2020,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.60976
2021,WTO Annual Report 2021,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.60976
2000,African Development Bank Group Annual Report 2000,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.095
2005,African Development Bank Group Annual Report 2005,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.04
2010,African Development Bank Group Annual Report 2010,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,0.996
2014,African Development Bank Group Annual Report 2014,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.055
2015,African Development Bank Group Annual Report 2015,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.05
2016,African Development Bank Group Annual Report 2016,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.0478
2017,African Development Bank Group Annual Report 2017,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.0478
2018,African Development Bank Group Annual Report 2018,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.0534
2019,African Development Bank Group Annual Report 2019,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.05547
2005,Report of the Economic and Social Council for 2005 (A/60/3),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council for 2005 (A/60/3),1.8519
2000,The World Bank Annual Report 2000: Financial Statement and Appendixes to the Annual Report,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.1443
2005,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2005","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.1435
2010,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2010","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.1432
2015,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2015","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.1229
2016,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2016","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.13
2017,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2017","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.1277
2018,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2018","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.1514
2019,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2019 ","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.1491
2020,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2020","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.14575
2021,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.14152
2000,IFC 2000 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.1062
2005,IFC 2005 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.1058
2010,IFC 2010 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.1056
2015,IFC 2015 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.11479
2016,IFC 2016 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.11479
2017,IFC 2017 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.11479
2018,IFC 2018 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.1148
2019,IFC 2019 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.1139
2020,IFC 2020 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.1146
2021,IFC 2021 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.11126
2000,IMF Annual Report 2000,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.0873
2005,IMF Annual Report 2005,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.0859
2010,IMF Annual Report 2010,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.0844
2015,IMF Annual Report 2015,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.0935
2016,IMF Annual Report 2016,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.094
2017,IMF Annual Report 2017,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.0934
2018,IMF Annual Report 2018,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.0934
2019,IMF Annual Report 2019,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.09343
2020,IMF Annual Report 2020,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.0934
2021,IMF Annual Report 2021,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.09316
2000,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5291
2005,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5236
2010,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5208
2015,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2016,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2017,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2018,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2019,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2020,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2021,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2016,Report of the Security Council (A/71/2),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Report of the Security Council for 2017 (A/72/2),6.6667
2017,Report of the Security Council for 2017 (A/72/2),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Report of the Security Council for 2017 (A/72/2),6.6667
2000,WTO Annual Report 2015,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.7143
2005,WTO Annual Report 2015,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.6711
2010,WTO Annual Report 2015,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.6536
2015,WTO Annual Report 2015,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.625
2016,WTO Annual Report 2016,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.6173
2017,WTO Annual Report 2017,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.6098
2018,WTO Annual Report 2018,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.6098
2019,WTO Annual Report 2019,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.6098
2020,WTO Annual Report 2020,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.60976
2021,WTO Annual Report 2021,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.60976
