Year,UPPER_BOUND,LOWER_BOUND,SDG Series,Upper bound value,Lower bound value,Value
2017,61.4,45,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",63.2,41.7,53.3
2018,62.3,43.4,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",63.2,41.7,52.8
2019,63.2,41.7,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",63.2,41.7,52.3
2000,62.3,57.1,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",58.9,53,59.9
2001,62.2,57.3,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",58.9,53,59.9
2002,62.1,57.5,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",58.9,53,59.9
2003,61.9,57.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",58.9,53,59.9
2004,61.8,57.7,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",58.9,53,59.8
2005,61.6,57.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",58.9,53,59.7
2006,61.4,57.5,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",58.9,53,59.6
2007,61.2,57.4,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",58.9,53,59.4
2008,60.9,57.2,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",58.9,53,59.2
2009,60.7,57,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",58.9,53,58.9
2010,60.4,56.7,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",58.9,53,58.7
2011,60.1,56.4,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",58.9,53,58.4
2012,59.9,56.1,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",58.9,53,58.1
2013,59.7,55.8,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",58.9,53,57.8
2014,59.4,55.5,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",58.9,53,57.5
2015,59.3,55.1,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",58.9,53,57.3
2016,59.1,54.7,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",58.9,53,57.0
2017,59,54.2,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",58.9,53,56.7
2018,58.9,53.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",58.9,53,56.4
2019,58.9,53,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",58.9,53,56.1
