Year,COMMENT_OBS,SDG Series,Observation-level footnotes,Value
2014,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",114.94208
2015,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",89.55299
2016,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",88.73122
2017,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",75.48973
2018,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",89.81223
2019,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",96.08598
2020,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",102.68671
2010,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",57.02063
2011,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",55.64918
2012,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",87.21213
2013,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",75.6755
2014,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",113.37746
2015,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",88.2374
2016,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",87.70263
2017,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",71.38827
2018,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",87.40257
2019,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",94.9345
2020,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",101.18289
