Year,COMMENT_OBS,Composite breakdown,Observation-level footnotes,Value
2017,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,0.0
2018,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,0.0
2019,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,0.0
2020,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,0.0
2000,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,Year-end value for installed capacity (watts) and mid-year for population ,0.102
2001,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,Year-end value for installed capacity (watts) and mid-year for population ,0.114
2002,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,Year-end value for installed capacity (watts) and mid-year for population ,0.124
2003,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,Year-end value for installed capacity (watts) and mid-year for population ,0.135
2004,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,Year-end value for installed capacity (watts) and mid-year for population ,0.144
2005,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,Year-end value for installed capacity (watts) and mid-year for population ,0.153
2006,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,Year-end value for installed capacity (watts) and mid-year for population ,0.162
2007,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,Year-end value for installed capacity (watts) and mid-year for population ,0.171
2008,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,Year-end value for installed capacity (watts) and mid-year for population ,0.188
2009,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,Year-end value for installed capacity (watts) and mid-year for population ,0.208
2010,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,Year-end value for installed capacity (watts) and mid-year for population ,0.26
2011,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,Year-end value for installed capacity (watts) and mid-year for population ,0.368
2012,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,Year-end value for installed capacity (watts) and mid-year for population ,0.44
2013,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,Year-end value for installed capacity (watts) and mid-year for population ,0.508
2014,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,Year-end value for installed capacity (watts) and mid-year for population ,0.635
2015,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,Year-end value for installed capacity (watts) and mid-year for population ,0.617
2016,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,Year-end value for installed capacity (watts) and mid-year for population ,2.801
2017,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,Year-end value for installed capacity (watts) and mid-year for population ,6.939
2018,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,Year-end value for installed capacity (watts) and mid-year for population ,9.335
2019,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,Year-end value for installed capacity (watts) and mid-year for population ,10.493
2020,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,Year-end value for installed capacity (watts) and mid-year for population ,10.213
2000,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,Year-end value for installed capacity (watts) and mid-year for population ,0.0
2001,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,Year-end value for installed capacity (watts) and mid-year for population ,0.0
2002,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,Year-end value for installed capacity (watts) and mid-year for population ,0.0
2003,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,Year-end value for installed capacity (watts) and mid-year for population ,0.0
2004,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,Year-end value for installed capacity (watts) and mid-year for population ,0.0
2005,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,Year-end value for installed capacity (watts) and mid-year for population ,0.0
2006,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,Year-end value for installed capacity (watts) and mid-year for population ,0.0
2007,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,Year-end value for installed capacity (watts) and mid-year for population ,0.0
2008,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,Year-end value for installed capacity (watts) and mid-year for population ,0.0
2009,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,Year-end value for installed capacity (watts) and mid-year for population ,0.0
2010,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,Year-end value for installed capacity (watts) and mid-year for population ,0.0
2011,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,Year-end value for installed capacity (watts) and mid-year for population ,0.0
2012,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,Year-end value for installed capacity (watts) and mid-year for population ,0.0
2013,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,Year-end value for installed capacity (watts) and mid-year for population ,0.0
2014,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,Year-end value for installed capacity (watts) and mid-year for population ,0.0
2015,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,Year-end value for installed capacity (watts) and mid-year for population ,0.0
2016,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,Year-end value for installed capacity (watts) and mid-year for population ,0.0
2017,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,Year-end value for installed capacity (watts) and mid-year for population ,0.0
2018,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,Year-end value for installed capacity (watts) and mid-year for population ,0.0
2019,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,Year-end value for installed capacity (watts) and mid-year for population ,3.068
2020,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,Year-end value for installed capacity (watts) and mid-year for population ,2.986
