Year,NATURE,SOURCE_DETAIL,Sex,Degree of urbanisation,Income or wealth quantile,Education level,Nature of data points,Source details,Observation-level footnotes,COMMENT_OBS,Value
2018,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,,Upper secondary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,40.8
2019,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,,Upper secondary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,41.7
2020,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,,Upper secondary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,42.4
2000,C,"Kenya MICS 2000. World Inequality Database on Education (WIDE), June 2019.; Data extracted on 01 April 2022.",,,Quintile 1 (poorest),Primary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,40.61
2003,C,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above.; Data extracted on 01 April 2022.,,,Quintile 1 (poorest),Primary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,28.9483
2008,C,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above.; Data extracted on 01 April 2022.,,,Quintile 1 (poorest),Primary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,57.62935
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,Quintile 1 (poorest),Primary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,63.13889
2000,C,"Kenya MICS 2000. World Inequality Database on Education (WIDE), June 2019.; Data extracted on 01 April 2022.",,,Quintile 1 (poorest),Lower secondary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,22.46
2003,C,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above.; Data extracted on 01 April 2022.,,,Quintile 1 (poorest),Lower secondary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,12.51046
2008,C,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above.; Data extracted on 01 April 2022.,,,Quintile 1 (poorest),Lower secondary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,33.15288
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,Quintile 1 (poorest),Lower secondary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,41.72228
2000,C,"Kenya MICS 2000. World Inequality Database on Education (WIDE), June 2019.; Data extracted on 01 April 2022.",,,Quintile 1 (poorest),Upper secondary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,6.62
2003,C,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above.; Data extracted on 01 April 2022.,,,Quintile 1 (poorest),Upper secondary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,6.5169
2008,C,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above.; Data extracted on 01 April 2022.,,,Quintile 1 (poorest),Upper secondary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,6.23844
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,Quintile 1 (poorest),Upper secondary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,11.17365
2000,C,"Kenya MICS 2000. World Inequality Database on Education (WIDE), June 2019.; Data extracted on 01 April 2022.",,,Quintile 2,Primary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,57.35
2003,C,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above.; Data extracted on 01 April 2022.,,,Quintile 2,Primary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,49.7252
2008,C,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above.; Data extracted on 01 April 2022.,,,Quintile 2,Primary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,75.0947
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,Quintile 2,Primary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,80.37177
2000,C,"Kenya MICS 2000. World Inequality Database on Education (WIDE), June 2019.; Data extracted on 01 April 2022.",,,Quintile 2,Lower secondary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,35.16
2003,C,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above.; Data extracted on 01 April 2022.,,,Quintile 2,Lower secondary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,29.32552
2008,C,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above.; Data extracted on 01 April 2022.,,,Quintile 2,Lower secondary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,54.99377
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,Quintile 2,Lower secondary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,59.40953
2000,C,"Kenya MICS 2000. World Inequality Database on Education (WIDE), June 2019.; Data extracted on 01 April 2022.",,,Quintile 2,Upper secondary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,14.56
2003,C,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above.; Data extracted on 01 April 2022.,,,Quintile 2,Upper secondary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,11.00715
2008,C,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above.; Data extracted on 01 April 2022.,,,Quintile 2,Upper secondary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,12.70786
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,Quintile 2,Upper secondary education,Country Data,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,21.57345
