Year,SDG Series,Unit of measure,Value
2010,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,0
2011,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,0
2012,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,0
2013,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,0
2014,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,0
2015,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,0
2005,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,0
2006,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,0
2007,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,0
2008,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,0
2009,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,0
2010,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,0
2011,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,0
2012,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,0
2013,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,0
2014,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,0
2015,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,0
2005,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,0
2006,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,0
2007,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,0
2008,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,0
2009,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,0
2010,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,0
2011,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,0
2012,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,0
2013,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,0
2014,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,0
2015,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,0
