Year,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SDG Series,Unit of measure,Unit multiplier,Observation-level footnotes,Upper bound value,Lower bound value,Value
2010,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",32.6,28.9,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",24,15.6,30.7
2011,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",31.1,27.4,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",24,15.6,29.2
2012,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",29.8,25.9,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",24,15.6,27.8
2013,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",28.7,24.4,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",24,15.6,26.5
2014,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",27.9,23,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",24,15.6,25.4
2015,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",27.2,21.7,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",24,15.6,24.3
2016,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",26.6,20.5,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",24,15.6,23.4
2017,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",26,19.2,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",24,15.6,22.5
2018,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",25.4,18,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",24,15.6,21.5
2019,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",24.7,16.8,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",24,15.6,20.4
2020,0,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",24,15.6,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",24,15.6,19.4
2000,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2262.2,2043.9,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",1688.3,1099.2,2152.0
2001,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2342.8,2123.2,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",1688.3,1099.2,2232.0
2002,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2382.1,2161,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",1688.3,1099.2,2270.5
2003,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2394.3,2168.9,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",1688.3,1099.2,2280.5
2004,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2400.3,2166.9,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",1688.3,1099.2,2282.4
2005,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2407.6,2163.9,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",1688.3,1099.2,2284.4
2006,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2396.9,2145.9,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",1688.3,1099.2,2269.9
2007,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2376.5,2122.7,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",1688.3,1099.2,2247.9
2008,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2347.3,2094.6,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",1688.3,1099.2,2219.2
2009,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2299.3,2049.3,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",1688.3,1099.2,2172.4
2010,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2232.6,1982.8,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",1688.3,1099.2,2105.6
2011,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2165.3,1907.1,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",1688.3,1099.2,2033.8
2012,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2092.3,1815.7,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",1688.3,1099.2,1951.0
2013,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2022.1,1717.1,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",1688.3,1099.2,1865.6
2014,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",1961.4,1619.4,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",1688.3,1099.2,1785.0
2015,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",1913.1,1527.8,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",1688.3,1099.2,1713.1
2016,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",1863.7,1433.8,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",1688.3,1099.2,1639.0
2017,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",1820.5,1345.5,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",1688.3,1099.2,1570.3
2018,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",1775.6,1258.3,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",1688.3,1099.2,1500.8
2019,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",1730.3,1174.9,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",1688.3,1099.2,1432.7
2020,3,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",1688.3,1099.2,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",1688.3,1099.2,1369.9
