Year,SDG Series,Type of product,Unit of measure,Observation-level footnotes,COMMENT_OBS,BASE_PER,Base period,Value
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.28381
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.37938
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.41414
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.48815
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.48036
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.60199
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.69615
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.54926
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.78229
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.90714
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.92531
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.15218
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.21908
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.84657
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.05969
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.10215
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.01396
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.01697
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.01598
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.00525
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.00649
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.01903
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.02003
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.01608
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.02212
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.01925
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.02024
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.0153
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.01337
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.02403
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.0122
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.0169
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.01654
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.01867
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.01471
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.01457
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.22533
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.30765
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.27198
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.2806
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.30551
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.44507
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.39404
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.92427
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.89437
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.78007
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.84506
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.75807
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.76752
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.66811
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.59931
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.63293
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.57746
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.45305
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.4993
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.49339
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.44195
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.4777
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.4599
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.45049
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.44406
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.5123
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.52669
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.50727
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.49845
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.54007
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.53583
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.50508
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.54223
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.5349
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.52779
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.54939
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.49872
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.51162
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.49757
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.4961
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.37223
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.44078
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.40867
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.42635
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.40817
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.46195
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.48419
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.44405
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.39011
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.38551
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.47254
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.43806
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.49193
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.46564
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.42458
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.45641
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.38412
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.37404
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.41254
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.41042
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,0.95203
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,0.94185
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,0.9661
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,0.9742
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.03094
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,0.98328
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,0.89054
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.49383
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.53939
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.40129
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.39289
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.38104
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.31584
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.25994
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.24691
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.23665
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.31395
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.19546
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.225
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.22999
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.45261
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.44231
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.43382
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.42626
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.41851
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.48301
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.48728
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.47484
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.46231
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.44946
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.4398
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.42897
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.41335
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.40368
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.39571
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.38634
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.37702
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.36865
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.36093
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.35368
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00651
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00501
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00349
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.0033
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00384
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00453
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00534
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00427
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00411
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00374
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00401
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00491
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00417
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00395
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00431
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00415
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00366
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00328
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00325
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.0032
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.03359
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.04193
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.04322
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.03802
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.02442
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.02079
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.01881
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.06234
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.01644
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.0322
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.0511
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.02963
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.05527
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.06147
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.01068
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.03917
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.03072
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.03614
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.03101
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.03242
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,Obs_Value = 0;  ,,,,0.0075
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,Obs_Value = 0;  ,,,,0.00999
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,Obs_Value = 0;  ,,,,0.01398
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,Obs_Value = 0;  ,,,,0.00924
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,Obs_Value = 0;  ,,,,0.01254
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,Obs_Value = 0;  ,,,,0.00814
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,Obs_Value = 0;  ,,,,0.01008
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,Obs_Value = 0;  ,,,,0.01155
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,Obs_Value = 0;  ,,,,0.01043
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,Obs_Value = 0;  ,,,,0.01438
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,Obs_Value = 0;  ,,,,0.01453
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,Obs_Value = 0;  ,,,,0.0057
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,Obs_Value = 0;  ,,,,0.00341
