Year,SDG Series,Sex,Age,Unit of measure,Value
2020,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",45.6
2000,Under-five deaths (number) [3.2.1],,under 5 years old,Number,120666.0
2001,Under-five deaths (number) [3.2.1],,under 5 years old,Number,118227.0
2002,Under-five deaths (number) [3.2.1],,under 5 years old,Number,115319.0
2003,Under-five deaths (number) [3.2.1],,under 5 years old,Number,112071.0
2004,Under-five deaths (number) [3.2.1],,under 5 years old,Number,108477.0
2005,Under-five deaths (number) [3.2.1],,under 5 years old,Number,104029.0
2006,Under-five deaths (number) [3.2.1],,under 5 years old,Number,99962.0
2007,Under-five deaths (number) [3.2.1],,under 5 years old,Number,95871.0
2008,Under-five deaths (number) [3.2.1],,under 5 years old,Number,90685.0
2009,Under-five deaths (number) [3.2.1],,under 5 years old,Number,86519.0
2010,Under-five deaths (number) [3.2.1],,under 5 years old,Number,83648.0
2011,Under-five deaths (number) [3.2.1],,under 5 years old,Number,81310.0
2012,Under-five deaths (number) [3.2.1],,under 5 years old,Number,79337.0
2013,Under-five deaths (number) [3.2.1],,under 5 years old,Number,76771.0
2014,Under-five deaths (number) [3.2.1],,under 5 years old,Number,74251.0
2015,Under-five deaths (number) [3.2.1],,under 5 years old,Number,71596.0
2016,Under-five deaths (number) [3.2.1],,under 5 years old,Number,69055.0
2017,Under-five deaths (number) [3.2.1],,under 5 years old,Number,67158.0
2018,Under-five deaths (number) [3.2.1],,under 5 years old,Number,65037.0
2019,Under-five deaths (number) [3.2.1],,under 5 years old,Number,63400.0
2020,Under-five deaths (number) [3.2.1],,under 5 years old,Number,62199.0
2000,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,55919.0
2001,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,54713.0
2002,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,53335.0
2003,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,51746.0
2004,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,50013.0
2005,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,47884.0
2006,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,45932.0
2007,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,43941.0
2008,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,41456.0
2009,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,39391.0
2010,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,38032.0
2011,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,36942.0
2012,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,35952.0
2013,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,34657.0
2014,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,33489.0
2015,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,32250.0
2016,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,31066.0
2017,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,30209.0
2018,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,29202.0
2019,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,28421.0
2020,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,27812.0
2000,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,64747.0
2001,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,63514.0
2002,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,61984.0
2003,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,60325.0
2004,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,58464.0
2005,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,56145.0
2006,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,54030.0
2007,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,51930.0
2008,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,49229.0
2009,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,47128.0
2010,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,45616.0
2011,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,44368.0
2012,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,43385.0
2013,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,42114.0
2014,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,40762.0
2015,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,39346.0
2016,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,37989.0
2017,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,36949.0
2018,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,35835.0
2019,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,34979.0
2020,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,34387.0
