Year,OBS_STATUS,NATURE,SOURCE_DETAIL,SDG Series,Unit of measure,Source details,COMMENT_OBS,Observation-level footnotes,Value
2017,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data,,,14.98203
2018,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data,,,15.01441
2019,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data,,,14.95822
2020,A,C,FAO calculation based on WB national account data,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data,,,15.81769
2009,E,E,IMF data and FAO Imputation. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Official country publications. World Bank national accounts data.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,0.217
2010,E,E,IMF data and FAO Imputation. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Official country publications. World Bank national accounts data.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,0.212
2011,E,E,IMF data and FAO Imputation. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Official country publications. World Bank national accounts data.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,0.249
2012,E,E,IMF data and FAO Imputation. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Official country publications. World Bank national accounts data.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,0.227
2013,A,C,IMF data and Official country publications. UNSD national account estimates.,Agriculture orientation index for government expenditures [2.a.1],Index,Official country publications. World Bank national accounts data.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,0.267
2014,A,C,IMF data and Official country publications. UNSD national account estimates.,Agriculture orientation index for government expenditures [2.a.1],Index,Official country publications. World Bank national accounts data.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,0.294
2015,E,E,IMF data and FAO Imputation. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Official country publications. World Bank national accounts data.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,0.198
2016,E,E,IMF data and FAO Imputation. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Official country publications. World Bank national accounts data.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,0.191
2017,A,C,IMF data and Official country publications. UNSD national account estimates.,Agriculture orientation index for government expenditures [2.a.1],Index,Official country publications. World Bank national accounts data.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,0.181
2018,A,C,IMF data and Official country publications. UNSD national account estimates.,Agriculture orientation index for government expenditures [2.a.1],Index,Official country publications. World Bank national accounts data.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,0.227
2019,A,C,Official country publications. UNSD national account estimates.,Agriculture orientation index for government expenditures [2.a.1],Index,Official country publications. World Bank national accounts data.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,0.24
2020,A,C,Official country publications. World Bank national accounts data.,Agriculture orientation index for government expenditures [2.a.1],Index,Official country publications. World Bank national accounts data.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,0.162
2009,E,E,IMF data and FAO Imputation.,Agriculture share of Government Expenditure [2.a.1],Percent,Official country publications.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,3.28
2010,E,E,IMF data and FAO Imputation.,Agriculture share of Government Expenditure [2.a.1],Percent,Official country publications.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,3.21
2011,E,E,IMF data and FAO Imputation.,Agriculture share of Government Expenditure [2.a.1],Percent,Official country publications.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,3.15
2012,E,E,IMF data and FAO Imputation.,Agriculture share of Government Expenditure [2.a.1],Percent,Official country publications.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,3.09
2013,A,C,IMF data and Official country publications.,Agriculture share of Government Expenditure [2.a.1],Percent,Official country publications.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,3.63
2014,A,C,IMF data and Official country publications.,Agriculture share of Government Expenditure [2.a.1],Percent,Official country publications.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,3.92
2015,E,E,IMF data and FAO Imputation.,Agriculture share of Government Expenditure [2.a.1],Percent,Official country publications.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,2.82
2016,E,E,IMF data and FAO Imputation.,Agriculture share of Government Expenditure [2.a.1],Percent,Official country publications.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,2.75
2017,A,C,IMF data and Official country publications.,Agriculture share of Government Expenditure [2.a.1],Percent,Official country publications.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,2.71
2018,A,C,IMF data and Official country publications.,Agriculture share of Government Expenditure [2.a.1],Percent,Official country publications.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,3.41
2019,A,C,Official country publications.,Agriculture share of Government Expenditure [2.a.1],Percent,Official country publications.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,3.59
2020,A,C,Official country publications.,Agriculture share of Government Expenditure [2.a.1],Percent,Official country publications.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,2.56
