Year,COMMENT_OBS,SDG Series,Observation-level footnotes,Value
2018,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",551.08893
2019,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1462.07571
2020,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",2196.00903
2006,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",211.91312
2007,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",338.37113
2008,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",309.86109
2009,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",343.14795
2010,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",376.72237
2011,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",510.92768
2012,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",753.9792
2013,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1142.25464
2014,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",996.32634
2015,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1006.90121
2016,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",892.62237
2017,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",987.73281
2018,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",942.16313
2019,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1487.75974
2020,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1308.3461
